CODIGO,CODIGO VF,DESCRIPCION,PROVEEDOR,COMPRADOR,TÉRMINOS DE PAGO,DÍAS DE PAGO,MOQ,Lead Time/ días,UDM,Precio,Totales Requeridos Semana N,Inventario Inicial,WIP,Recepciones,Recepciones Monto,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico con recepciones de la semana,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+1,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+2,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+3,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+4,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+5,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Categoría,ESTATUS
CORRGELCAB,CORRGELCAB,CORRUGADO GEL CABELLO 24PZA,CORRUGADOS LEON,CLARA,Crédito,60,"1,000",8,Pza,$5.34,"1,008.00","3,145",492,-,-,-,Ok,-,"1,833","3,137.00","2,750","1,000","$5,340.00",500,"2,137",-,Ok,-,"1,833","2,637.00","2,750",-,$-,"1,000","1,637",-,Fincar,196,"1,833","1,637.00","2,750",-,$-,917,637,280,Fincar,"1,113","1,833",720.33,"2,750",-,$-,917,-,917,Fincar,"1,833","1,833",-,"2,750",-,$-,917,-,917,Fincar,"1,833","1,833",-,"2,750",-,CORRUGADO,ACTIVO
CORRFSHAMP,CORRFSHAMP,CORR FONDO SHAMPOO 12 PZ,CORRUGADOS LEON,CLARA,,,,8,Pza,$4.93,"3,236.00","11,830",-,"5,086.00","25,073.98",-,Ok,-,"6,250","13,680.00","9,375",-,$-,-,"13,680",-,Ok,-,"6,250","13,680.00","9,375",-,$-,-,"13,680",-,Ok,-,"6,250","13,680.00","9,375",-,$-,"3,125","13,680",-,Ok,-,"6,250","10,555.16","9,375",-,$-,"3,125","10,555",-,Ok,-,"6,250","7,430.32","9,375",-,$-,"3,125","7,430",-,Fincar,"1,944","6,250","4,305.48","9,375",-,CORRUGADO,ACTIVO
CORRTSHAMP,CORRTSHAMP,CORR TAPA SHAMPOO 12 PZ,CORRUGADOS LEON,CLARA,,,,8,Pza,$2.02,"3,236.00","11,201",-,"5,086.00","10,273.72",-,Ok,-,"6,250","13,051.00","9,375",-,$-,-,"13,051",-,Ok,-,"6,250","13,051.00","9,375",-,$-,-,"13,051",-,Ok,-,"6,250","13,051.00","9,375",-,$-,"3,125","13,051",-,Ok,-,"6,250","9,926.16","9,375",-,$-,"3,125","9,926",-,Ok,-,"6,250","6,801.32","9,375",-,$-,"3,125","6,801",-,Fincar,"2,573","6,250","3,676.48","9,375",-,CORRUGADO,ACTIVO
ACRYLATE10,ACRYLATE10,ACRYLATE 100,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,-,30,25,15,Pza,$9.90,40.5,387,27,-,-,-,Ok,-,180,486,225,140,"$1,386.00",27,346,-,Ok,-,180,459,225,-,$-,41,319,-,Ok,-,180,418.5,225,-,$-,45,279,-,Ok,-,180,373.5,225,-,$-,45,234,-,Ok,-,180,328.5,225,-,$-,45,189,-,Ok,-,180,283.5,225,-,QUÍMICOS,ACTIVO
ACRYLATECF,ACRYLATECF,ACRYLATE CFG,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,-,30,25,15,Pza,$4.80,360,66,240,"1,000.20","4,800.96",294,Fincar,94,"1,600","1,506.04","2,000",800,"$3,840.00",240,706,-,Fincar,334,"1,600","1,266.04","2,000",-,$-,360,466,-,Fincar,694,"1,600",906.04,"2,000",-,$-,400,106,294,Fincar,494,"1,600","1,106.04","2,000",600,"$2,880.00",400,-,400,Fincar,894,"1,600",706.04,"2,000",-,$-,400,-,400,Fincar,"1,294","1,600",306.04,"2,000",-,QUÍMICOS,ACTIVO
GLUTARALDE,GLUTARALDE,GLUTARALDEHIDO,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,-,30,25,15,Pza,$182.32,-,20,-,-,-,-,Ok,-,22,40,27,20,"$3,646.40",-,20,-,Ok,-,22,40,27,-,$-,10,20,-,Ok,-,22,30,27,-,$-,5,10,-,Ok,-,22,44.55,27,20,"$3,646.40",5,5,1,Ok,-,22,39.09,27,-,$-,5,-,5,Ok,-,22,33.64,27,-,QUÍMICOS,ACTIVO
LAURETH9BC,LAURETH9BC,LAURETH 9,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,-,30,190,15,Pza,$65.36,-,91,-,-,-,-,Ok,-,109,301,136,210,"$13,725.60",-,91,-,Ok,-,109,301,136,-,$-,50,91,-,Ok,-,109,251,136,-,$-,27,41,-,Ok,-,109,223.73,136,-,$-,27,14,14,Ok,-,109,196.46,136,-,$-,27,-,27,Ok,-,109,169.19,136,-,QUÍMICOS,ACTIVO
TRIETANOLA,TRIETANOLA,TRIETANOLAMINA,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,Contado,30,600,15,Kg,$51.60,108,434,72,-,-,-,Ok,-,480,786.1,600,460,"$23,736.00",72,326,-,Ok,-,480,714.1,600,-,$-,108,254,-,Ok,-,480,606.1,600,-,$-,120,146,-,Ok,-,480,486.1,600,-,$-,120,26,94,Fincar,114,480,366.1,600,-,$-,120,-,120,Fincar,234,480,246.1,600,-,QUÍMICOS,ACTIVO
COLORVIO2A,COLORVIO2A,COLORLINK VIOLET 2A,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,Contado,30,600,15,Kg,"$1,656.36",0,1,0,-,-,-,Ok,-,0,0.57,0,-,$-,0,1,-,Ok,-,0,0.56,0,-,$-,0,1,-,Ok,-,0,0.55,0,-,$-,0,1,-,Ok,-,0,0.54,0,-,$-,0,1,-,Ok,-,0,0.53,0,-,$-,0,1,-,Ok,-,0,0.53,0,-,QUÍMICOS,ACTIVO
POLICUATER,POLICUATER,POLICUATERNIO 7,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,,,,15,Kg,$24.94,510,"3,180",-,"1,000.00","24,940.00",-,Ok,-,"1,970","3,670.00","2,955",-,$-,-,"3,670",-,Ok,-,"1,970","3,670.00","2,955",-,$-,-,"3,670",-,Ok,-,"1,970","3,670.00","2,955",-,$-,492,"3,670",-,Ok,-,"1,970","3,177.52","2,955",-,$-,492,"3,178",-,Ok,-,"1,970","2,685.04","2,955",-,$-,492,"2,685",-,Ok,-,"1,970","2,192.56","2,955",-,QUÍMICOS,ACTIVO
POLISORBAT,POLISORBAT,POLISORBATO 20,ECJ DISTRIBUIDORA MEXICANA S.A DE C.V,JOVANY,,30,"10,000",15,Kg,$74.30,12,133,6,-,-,-,Ok,-,44,120.8,66,-,$-,6,121,-,Ok,-,44,114.8,66,-,$-,12,115,-,Ok,-,44,102.8,66,-,$-,11,103,-,Ok,-,44,91.8,66,-,$-,11,92,-,Ok,-,44,80.8,66,-,$-,11,81,-,Ok,-,44,69.8,66,-,QUÍMICOS,ACTIVO
EXTALOEVER,EXTALOEVER,EXT ALOE VERA,DROGERIA COSMOPOLITA SA DE CV,JOVANY,Crédito,15,50,15,Kg,$49.50,6.8,43,3,-,-,-,Ok,-,26,36.25,32,-,$-,3,36,-,Ok,-,26,33.25,32,-,$-,5,33,-,Ok,-,26,28.75,32,-,$-,6,29,-,Fincar,3,26,22.3,32,-,$-,6,22,-,Fincar,10,26,15.85,32,-,$-,6,16,-,Fincar,16,26,9.4,32,-,QUÍMICOS,ACTIVO
EXTMANZANI,EXTMANZANI,EXT MANZANILLA,TECNOLOGIA Y ASESORIAS ALIMENTARIAS SA DE CV,JOVANY,,,,20,Kg,$100.00,-,7,-,-,-,-,Ok,-,4,7,5,-,$-,-,7,-,Ok,-,4,7,5,-,$-,-,7,-,Ok,-,4,7,5,-,$-,1,7,-,Ok,-,4,6.03,5,-,$-,1,6,-,Ok,-,4,5.07,5,-,$-,1,5,-,Ok,-,4,4.1,5,-,QUÍMICOS,ACTIVO
EXTMANZANA,EXTMANZANA,EX DE MANZANA,TECNOLOGIA Y ASESORIAS ALIMENTARIAS SA DE CV,JOVANY,,,,20,Kg,$200.00,2.3,8,-,-,-,-,Fincar,0,6,5.35,7,-,$-,-,5,-,Fincar,0,6,5.35,7,-,$-,-,5,-,Fincar,0,6,5.35,7,-,$-,1,5,-,Fincar,2,6,3.9,7,-,$-,1,4,-,Fincar,3,6,2.45,7,-,$-,1,2,-,Fincar,5,6,1,7,-,QUÍMICOS,ACTIVO
COLORVIOLE,COLORVIOLE,COLORVIOLETA LD-240109-III,TECNOLOGIA Y ASESORIAS ALIMENTARIAS SA DE CV,JOVANY,Crédito,15,50,20,Kg,$197.80,5.6,224,17,-,-,-,Ok,-,101,218.08,126,-,$-,25,218,-,Ok,-,101,192.88,126,-,$-,24,193,-,Ok,-,101,168.82,126,-,$-,25,169,-,Ok,-,101,143.63,126,-,$-,25,144,-,Ok,-,101,118.43,126,-,$-,25,118,-,Fincar,8,101,93.24,126,-,QUÍMICOS,ACTIVO
SABORVINAG,SABORVINAG,SABOR VINAGRE,TECNOLOGIA Y ASESORIAS ALIMENTARIAS SA DE CV,JOVANY,,,,20,kg,$200.00,16,299,16,-,-,-,Ok,-,115,283.4,173,-,$-,32,283,-,Ok,-,115,251.4,173,-,$-,16,251,-,Ok,-,115,235.4,173,-,$-,29,235,-,Ok,-,115,206.58,173,-,$-,29,207,-,Ok,-,115,177.77,173,-,$-,29,178,-,Ok,-,115,148.95,173,-,QUÍMICOS,ACTIVO
APERLANTEE,COMP_APER,APERLANTE,BM NEGOCIACIONES QUIMICAS,MAJO,-,30,190,15,Pza,$32.90,-,288,-,-,-,-,Ok,-,229,288.2,275,-,$-,100,288,-,Ok,-,229,378.2,275,190,"$6,251.00",-,188,-,Ok,-,229,378.2,275,-,$-,46,188,-,Ok,-,229,332.3,275,-,$-,46,142,-,Ok,-,229,286.4,275,-,$-,46,96,-,Ok,-,229,240.5,275,-,QUÍMICOS,ACTIVO
COLORAMAR5,COMP_AMARILLO5,COLOR POLVO AMARILLO No5,SENSIENT COLORS,JOVANY,Adelantado,15,5,15,Kg,$258.00,1.7,8,0,-,-,-,Fincar,0,6,6.05,8,-,$-,1,6,-,Fincar,1,6,5.34,8,-,$-,1,5,-,Fincar,2,6,4.58,8,-,$-,2,5,-,Fincar,3,6,3,8,-,$-,2,3,-,Ok,-,6,6.42,8,5,"$1,290.00",2,1,0,Fincar,1,6,4.84,8,-,QUÍMICOS,ACTIVO
COLORAMAR6,COMP_AMARILLO6,COLOR POLVO AMARILLO No6,SENSIENT COLORS,JOVANY,Adelantado,15,5,15,Kg,$258.00,-,4,-,-,-,-,Ok,-,0,4.27,0,-,$-,0,4,-,Ok,-,0,4.21,0,-,$-,0,4,-,Ok,-,0,4.15,0,-,$-,0,4,-,Ok,-,0,4.09,0,-,$-,0,4,-,Ok,-,0,4.02,0,-,$-,0,4,-,Ok,-,0,3.96,0,-,QUÍMICOS,ACTIVO
COLORBLUE1,COMP_AZUL,COLOR POLVO FD&C BLUE,SENSIENT COLORS,JOVANY,Adelantado,15,5,15,Kg,$860.00,0.9,10,1,-,-,-,Ok,-,6,8.95,7,-,$-,2,8.949,-,Ok,-,6,7.15,7,-,$-,1,7,-,Fincar,0,6,5.9,7,-,$-,1,6,-,Fincar,1,6,4.42,7,-,$-,1,4,-,Ok,-,6,7.94,7,5,"$4,300.00",1,3,-,Ok,-,6,6.46,7,-,QUÍMICOS,ACTIVO
COLORRED33,COMP_ROJO33,COLOR POLVO D&C RED No 33,SENSIENT COLORS,JOVANY,Adelantado,15,5,15,Kg,$128.00,0.3,3,0,-,-,-,Ok,-,2,2.35,3,-,$-,1,2,-,Ok,-,2,6.82,3,5,$640.00,1,2,-,Ok,-,2,6.23,3,-,$-,1,1,-,Ok,-,2,5.72,3,-,$-,1,1,-,Ok,-,2,5.21,3,-,$-,1,0,0,Ok,-,2,4.7,3,-,QUÍMICOS,ACTIVO
COLORROJ40,COMP_ROJO40,COLOR ROJO NO40,SENSIENT COLORS,JOVANY,Adelantado,15,5,15,Kg,$395.60,1,3,-,-,-,-,Fincar,1,3,1.55,3,-,$-,1,2,-,Ok,-,3,5.49,3,5,"$1,978.00",0,0,-,Ok,-,3,5.44,3,-,$-,1,0,0,Ok,-,3,4.76,3,-,$-,1,-,1,Ok,-,3,4.09,3,-,$-,1,-,1,Ok,-,3,3.42,3,-,QUÍMICOS,ACTIVO
CLORURODSO,COMP_SAL,SAL GRANO FINO S/YODO,HERMANOS SAÃ‘UDO S.A. DE C.V,JOSE,Adelantado,-,"7,500",10,Kg,$7.18,"3,385.00","24,844","1,725",-,-,-,Ok,-,"21,082","21,459.00","26,353",-,$-,"5,050","21,459",-,Fincar,"4,673","21,082","16,409.00","26,353",-,$-,"3,900","16,409",-,Fincar,"8,573","21,082","12,509.00","26,353",-,$-,"5,271","12,509",-,Fincar,"13,844","21,082","7,238.43","26,353",-,$-,"5,271","7,238",-,Fincar,"19,114","21,082","1,967.86","26,353",-,$-,"5,271","1,968","3,303",Fincar,"21,082","21,082",-,"26,353",-,QUÍMICOS,ACTIVO
APCLAVANDA,APCLAVANDA,APC LAVANDA,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$161.13,26,372,39,-,-,-,Ok,-,342,346.4,479,-,$-,72,346,-,Fincar,67,342,274.9,479,-,$-,59,275,-,Fincar,126,342,216.4,479,-,$-,68,216,-,Fincar,194,342,147.98,479,-,$-,68,148,-,Fincar,263,342,79.56,479,-,$-,68,80,-,Fincar,331,342,11.14,479,-,QUÍMICOS,ACTIVO
FRCOCOSENS,FRCOCOSENS,FR COCONUT SENSATION 2056979,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$160.20,-,82,-,-,-,-,Ok,-,46,102,64,20,"$3,204.00",20,82,-,Ok,-,46,82,64,-,$-,-,62,-,Ok,-,46,82,64,-,$-,9,62,-,Ok,-,46,72.82,64,-,$-,9,53,-,Ok,-,46,63.64,64,-,$-,9,44,-,Ok,-,46,54.46,64,-,QUÍMICOS,ACTIVO
FRFLASHCLE,FRFLASHCLE,FR FRESH CLEAN,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Pza,$161.13,-,35,-,-,-,-,Ok,-,76,85.1,98,50,"$8,056.50",-,35,-,Ok,-,76,85.1,98,-,$-,20,35,-,Fincar,11,76,65.1,98,-,$-,11,15,-,Fincar,22,76,54.19,98,-,$-,11,4,7,Fincar,33,76,43.28,98,-,$-,11,-,11,Fincar,44,76,32.38,98,-,QUÍMICOS,ACTIVO
FRFRUROJFR,FRFRUROJFR,FR FRUTOS ROJOS - FRESA 2016213,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$141.47,20,84,-,-,-,-,Ok,-,49,83.8,73,20,"$2,829.40",20,64,-,Ok,-,49,63.8,73,-,$-,-,44,-,Ok,-,49,63.8,73,-,$-,12,44,-,Ok,-,49,51.56,73,-,$-,12,32,-,Fincar,10,49,39.32,73,-,$-,12,19,-,Fincar,22,49,27.08,73,-,QUÍMICOS,ACTIVO
FRFIERCEME,FRFIERCEME,FR FIERCE P MEN,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$207.30,4.5,20,5,-,-,-,Ok,-,34,45.5,47,30,"$6,219.00",5,16,-,Ok,-,34,41,47,-,$-,5,11,-,Ok,-,34,36.5,47,-,$-,7,7,0,Fincar,4,34,29.75,47,-,$-,7,-,7,Fincar,11,34,23,47,-,$-,7,-,7,Fincar,18,34,16.25,47,-,QUÍMICOS,ACTIVO
FRAGANBEBE,FRAGANBEBE,FRAGANCIA BABY HUGS,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$140.92,42,220,-,-,-,-,Fincar,18,196,178,274,-,$-,42,178,-,Fincar,60,196,136,274,-,$-,42,136,-,Fincar,102,196,94,274,-,$-,39,94,-,Fincar,141,196,54.8,274,-,$-,39,55,-,Fincar,180,196,15.6,274,-,$-,39,16,24,Fincar,196,196,-,274,-,QUÍMICOS,ACTIVO
FRPRIMAVER,FRPRIMAVER,FRAGANCIA BLUE TOUCH,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$140.93,119.7,616,-,-,-,-,Ok,-,466,496,652,-,$-,120,496,-,Fincar,89,466,376.3,652,-,$-,80,376,-,Fincar,169,466,296.5,652,-,$-,93,297,-,Fincar,262,466,203.4,652,-,$-,93,203,-,Fincar,355,466,110.3,652,-,$-,93,110,-,Fincar,448,466,17.2,652,-,QUÍMICOS,ACTIVO
FRFLORALCL,FRFLORALCL,FRAGANCIA FLORAL CLOTHES,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$153.16,78,696,59,-,-,-,Fincar,95,713,618.1,998,-,$-,156,618,-,Fincar,251,713,462.1,998,-,$-,137,462,-,Fincar,387,713,325.6,998,-,$-,143,326,-,Fincar,530,713,183.05,998,-,$-,143,183,-,Fincar,672,713,40.5,998,-,$-,143,40,102,Fincar,713,713,-,998,-,QUÍMICOS,ACTIVO
FRALAVATLI,FRALAVATLI,FRAGANCIA LAVAT JUICY LEMON,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$156.31,25.5,195,26,-,-,-,Ok,-,266,379.4,372,210,"$32,825.10",51,169,-,Ok,-,266,328.4,372,-,$-,51,118,-,Ok,-,266,277.4,372,-,$-,53,67,-,Fincar,42,266,224.21,372,-,$-,53,14,39,Fincar,95,266,171.02,372,-,$-,53,-,53,Fincar,148,266,117.83,372,-,QUÍMICOS,ACTIVO
FRMARINOEF,COMP_FRMARINOEF,FRAGANCIA MARINO,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$161.13,15,355,-,-,-,-,Ok,-,188,390,263,50,"$8,056.50",90,340,-,Ok,-,188,299.77,263,-,$-,15,250,-,Ok,-,188,284.77,263,-,$-,38,235,-,Ok,-,188,247.18,263,-,$-,38,197,-,Ok,-,188,209.59,263,-,$-,38,160,-,Fincar,16,188,171.99,263,-,QUÍMICOS,ACTIVO
FRMZCANEUR,FRMZCANEUR,FRAGANCIA MZA CANELA EURO,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$161.13,36,401,-,-,-,-,Ok,-,244,365.2,341,-,$-,54,365,-,Ok,-,244,311.2,341,-,$-,72,311,-,Fincar,4,244,239.2,341,-,$-,49,239,-,Fincar,53,244,190.48,341,-,$-,49,190,-,Fincar,102,244,141.76,341,-,$-,49,142,-,Fincar,151,244,93.03,341,-,QUÍMICOS,ACTIVO
FRAGANPINO,FRAGANPINO,FRAGANCIA PINE FOREST,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$171.88,68,266,-,-,-,-,Ok,-,239,328.4,334,130,"$22,344.40",68,198,-,Ok,-,239,260.4,334,-,$-,34,130,-,Fincar,12,239,226.4,334,-,$-,48,96,-,Fincar,60,239,178.69,334,-,$-,48,49,-,Fincar,108,239,130.97,334,-,$-,48,1,47,Fincar,155,239,83.26,334,-,QUÍMICOS,ACTIVO
FRAGOTOÑAL,FRAGOTOÑAL,FRAGANCIA SUN SOFT COD,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$140.92,-,326,-,-,-,-,Ok,-,210,475.5,294,150,"$21,138.00",42,326,-,Ok,-,210,433.5,294,-,$-,84,284,-,Ok,-,210,349.5,294,-,$-,42,200,-,Ok,-,210,307.5,294,-,$-,42,158,-,Ok,-,210,265.5,294,-,$-,42,116,-,Ok,-,210,223.5,294,-,QUÍMICOS,ACTIVO
FRDESENGRA,FRDESENGRA,FRANGANCIA TROPICAL CITRUS,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$153.16,-,108,-,-,-,-,Ok,-,80,107.7,111,-,$-,15,108,-,Ok,-,80,92.7,111,-,$-,15,93,-,Fincar,2,80,77.7,111,-,$-,16,78,-,Fincar,18,80,61.79,111,-,$-,16,62,-,Fincar,34,80,45.89,111,-,$-,16,46,-,Fincar,50,80,29.98,111,-,QUÍMICOS,ACTIVO
FRAGCLORFA,FRAGCLORFA,FR CLORY FANTASY,EUROFRAGANCE MEXICO SA DE CV,JOSE,,,,10,Kg,$178.32,-,225,-,-,-,-,Ok,-,105,224.5,147,-,$-,-,225,-,Ok,-,105,224.5,147,-,$-,-,225,-,Ok,-,105,224.5,147,-,$-,21,225,-,Ok,-,105,203.55,147,-,$-,21,204,-,Ok,-,105,182.61,147,-,$-,21,183,-,Ok,-,105,161.66,147,-,QUÍMICOS,ACTIVO
FRAGTIPVAN,FRAGTIPVAN,FR VANI PINK,EUROFRAGANCE MEXICO SA DE CV,JOSE,,,,10,Kg,$160.40,-,75,-,-,-,-,Ok,-,28,75,40,-,$-,-,75,-,Ok,-,28,75,40,-,$-,15,75,-,Ok,-,28,60,40,-,$-,6,60,-,Ok,-,28,54.32,40,-,$-,6,54,-,Ok,-,28,48.64,40,-,$-,6,49,-,Ok,-,28,42.96,40,-,QUÍMICOS,ACTIVO
FRGREENAPP,FRGREENAPP,FR GREEN APPLE,EUROFRAGANCE MEXICO SA DE CV,JOSE,Crédito,90,50,10,Kg,$161.13,10.8,36,5,-,-,-,Ok,-,50,65.6,69,40,"$6,445.20",5,26,-,Ok,-,50,60.2,69,-,$-,11,20,-,Fincar,0,50,49.4,69,-,$-,10,9,1,Fincar,10,50,39.5,69,-,$-,10,-,10,Fincar,20,50,29.6,69,-,$-,10,-,10,Fincar,30,50,19.7,69,-,QUÍMICOS,ACTIVO
FRHONEYGAR,FRHONEYGAR,FR HONEY GUARD,EUROFRAGANCE MEXICO SA DE CV,JOSE,,,,10,Kg,$262.78,-,385,-,-,-,-,Ok,-,217,384.6,304,-,$-,-,385,-,Ok,-,217,384.6,304,-,$-,-,385,-,Ok,-,217,384.6,304,-,$-,43,385,-,Ok,-,217,341.15,304,-,$-,43,341,-,Ok,-,217,297.69,304,-,$-,43,298,-,Ok,-,217,254.24,304,-,QUÍMICOS,ACTIVO
FRMANZANAA,FRMANZANAA,FR MANZANA/APPLE 2026711,EUROFRAGANCE MEXICO SA DE CV,JOSE,,,,10,Kg,$215.85,60,400,-,-,-,-,Ok,-,193,340,270,-,$-,-,340,-,Ok,-,193,340,270,-,$-,-,340,-,Ok,-,193,340,270,-,$-,39,340,-,Ok,-,193,301.37,270,-,$-,39,301,-,Ok,-,193,262.75,270,-,$-,39,263,-,Ok,-,193,224.12,270,-,QUÍMICOS,ACTIVO
FRBOTANICA,FRBOTANICA,FR BOTANICA MT2061315,EUROFRAGANCE MEXICO SA DE CV,JOSE,,,,10,Kg,$262.78,82.5,558,-,-,-,-,Ok,-,266,475,372,-,$-,-,475,-,Ok,-,266,475,372,-,$-,-,475,-,Ok,-,266,475,372,-,$-,53,475,-,Ok,-,266,421.89,372,-,$-,53,422,-,Ok,-,266,368.78,372,-,$-,53,369,-,Ok,-,266,315.67,372,-,QUÍMICOS,ACTIVO
ACIDOCITGA,COMP_ACIDO,ACIDO CITRICO,GAPELLI INGREDIENTS S.A. DE C.V.,CLARA,Anticipo,30,25,15,Kg,$17.20,50,"1,281",30,-,-,-,Ok,-,866,"1,230.60","1,300",-,$-,100,"1,231",-,Ok,-,866,"1,130.52","1,300",-,$-,300,"1,131",-,Fincar,36,866,830.52,"1,300",-,$-,217,831,-,Fincar,253,866,613.91,"1,300",-,$-,217,614,-,Fincar,469,866,397.29,"1,300",-,$-,217,397,-,Fincar,686,866,180.67,"1,300",-,QUÍMICOS,ACTIVO
ACIDODBSLI,COMP_ADBS,ACIDO DODECIL BENCEN SULFONICO,HJB QUIMICA INTERNACIONAL SA DE CV,CLARA,Anticipo,30,220,15,Kg,$36.00,760,"1,677",565,-,-,-,Fincar,"4,807","5,724",917,"8,586",-,$-,"1,590",917,673,Ok,-,"5,724","8,126.70","8,586","8,800","$316,800.00","1,385",-,"1,385",Ok,-,"5,724","6,742.20","8,586",-,$-,"1,431",-,"1,431",Fincar,413,"5,724","5,311.24","8,586",-,$-,"1,431",-,"1,431",Fincar,"1,844","5,724","3,880.28","8,586",-,$-,"1,431",-,"1,431",Fincar,"3,275","5,724","2,449.31","8,586",-,QUÍMICOS,ACTIVO
TETRASODIC,TETRASODIC,EDTA TETRASODICO,HJB QUIMICA INTERNACIONAL SA DE CV,CLARA,Anticipo,30,25,15,Kg,$44.70,24.4,262,13,-,-,-,Ok,-,236,237.3,354,-,$-,52,237,-,Fincar,50,236,185.7,354,-,$-,64,186,-,Fincar,114,236,121.3,354,-,$-,59,121,-,Fincar,173,236,62.37,354,-,$-,59,62,-,Fincar,232,236,3.44,354,-,$-,59,3,55,Fincar,236,236,-,354,-,QUÍMICOS,ACTIVO
LESS70IMPO,COMP_LESS,LAURIL ETER SULFATO DE SODIO 70% IMP,HJB QUIMICA INTERNACIONAL SA DE CV,SANDRO,Anticipo,30,"15,000",15,Kg,$31.26,"9,270.00","154,593","5,025",-,-,-,Ok,-,"61,709","145,323.00","92,563",-,$-,"13,274","145,323",-,Ok,-,"61,709","132,049.00","92,563",-,$-,"10,844","132,049",-,Ok,-,"61,709","121,205.00","92,563",-,$-,"15,427","121,205",-,Ok,-,"61,709","105,777.82","92,563",-,$-,"15,427","105,778",-,Ok,-,"61,709","90,350.65","92,563",-,$-,"15,427","90,351",-,Ok,-,"61,709","74,923.47","92,563",-,QUÍMICOS,ACTIVO
LAURILSULS,LAURILSULS,LAURIL SULFATO DE SODIO,INDUSTRIA QUIMICA DEL CENTRO,CLARA,,,,15,Kg,$19.00,"1,500.00","6,000",-,-,-,-,Fincar,"1,294","5,794","4,500.00","8,691",-,$-,-,"4,500",-,Ok,-,"5,794","13,500.00","8,691","9,000","$171,000.00",-,"4,500",-,Ok,-,"5,794","13,500.00","8,691",-,$-,"1,448","4,500",-,Ok,-,"5,794","12,051.53","8,691",-,$-,"1,448","3,052",-,Ok,-,"5,794","10,603.05","8,691",-,$-,"1,448","1,603",-,Ok,-,"5,794","9,154.58","8,691",-,QUÍMICOS,ACTIVO
HIDROXIDSO,HIDROXIDSO,HIDROXIDO DE SODIO 50%,QUIMICA TREZA SA DE CV,JOSE,Anticipo,-,"1,000",15,Kg,$12.13,352,"3,387",218,-,-,-,Ok,-,"3,966","43,035.30","5,949","40,000","$485,200.00",747,"3,035",-,Ok,-,"3,966","42,288.41","5,949",-,$-,845,"2,288",-,Ok,-,"3,966","41,443.81","5,949",-,$-,991,"1,444",-,Ok,-,"3,966","40,452.37","5,949",-,$-,991,452,539,Ok,-,"3,966","39,460.93","5,949",-,$-,991,-,991,Ok,-,"3,966","38,469.49","5,949",-,QUÍMICOS,ACTIVO
