CODIGO,CODIGO VF,DESCRIPCION,PROVEEDOR,COMPRADOR,TÉRMINOS DE PAGO,DÍAS DE PAGO,MOQ,Lead Time/ días,UDM,Precio,Totales Requeridos Semana N,Inventario Inicial,WIP,Recepciones,Recepciones Monto,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico con recepciones de la semana,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+1,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+2,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+3,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+4,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+5,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Categoría,ESTATUS
CRGNMULBC2,CRGNMULBC2,CORRUGADO GENERICO MULTIUSOS BEST CHOISE 2L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$10.19,"2,216.00","5,632",-,-,-,-,Ok,-,"3,554","4,416.00","5,331","1,000","$10,190.00","2,216","3,416",-,Fincar,"1,354","3,554","2,200.00","5,331",-,$-,"1,108","1,200",-,Fincar,"2,462","3,554","1,092.00","5,331",-,$-,"1,777",92,"1,685",Fincar,"3,554","3,554",-,"5,331",-,$-,"1,777",-,"1,777",Fincar,"3,554","3,554",-,"5,331",-,$-,"1,777",-,"1,777",Fincar,"3,554","3,554",-,"5,331",-,CORRUGADO,ACTIVO
CRRJMANO12,COMP_JABMANO12,CORRUGADO J MANOS 12 PZ,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$6.22,"1,634.00","4,585",-,-,-,-,Ok,-,"3,500","4,251.00","5,250","1,300","$8,086.00","3,268","2,951",317,Fincar,"2,517","3,500",983,"5,250",-,$-,-,-,-,Fincar,"2,517","3,500",983,"5,250",-,$-,"1,750",-,"1,750",Fincar,"3,500","3,500",-,"5,250",-,$-,"1,750",-,"1,750",Fincar,"3,500","3,500",-,"5,250",-,$-,"1,750",-,"1,750",Fincar,"3,500","3,500",-,"5,250",-,CORRUGADO,ACTIVO
CRRLAVTLI1,CRRLAVTLI1,CORRUGADO LAVAT BC 1.5L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$8.42,"1,225.00","4,602",-,-,-,-,Ok,-,"2,624","3,377.00","3,936",-,$-,"1,225","3,377",-,Fincar,472,"2,624","2,152.00","3,936",-,$-,"1,225","2,152",-,Fincar,"1,697","2,624",927,"3,936",-,$-,"1,312",927,385,Fincar,"2,624","2,624",-,"3,936",-,$-,"1,312",-,"1,312",Fincar,"2,624","2,624",-,"3,936",-,$-,"1,312",-,"1,312",Fincar,"2,624","2,624",-,"3,936",-,CORRUGADO,ACTIVO
CRGNSUABC2,CRGNSUABC2,CR GEN SUAVIZANTE BC 2L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$10.19,833,"3,019",-,-,-,-,Ok,-,"1,555","2,186.00","2,332",-,$-,833,"2,186",-,Fincar,202,"1,555","1,353.00","2,332",-,$-,833,"1,353",-,Fincar,"1,035","1,555",520,"2,332",-,$-,777,520,257,Fincar,"1,555","1,555",-,"2,332",-,$-,777,-,777,Fincar,"1,555","1,555",-,"2,332",-,$-,777,-,777,Fincar,"1,555","1,555",-,"2,332",-,CORRUGADO,ACTIVO
CRGNDETBC5,CRGNDETBC5,CR SUAVIZANTE BC 5L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$13.07,"3,345.00","12,223",330,-,-,-,Ok,-,"8,747","11,878.00","13,121","3,000","$39,210.00","4,410","8,878",-,Fincar,"1,279","8,747","7,468.00","13,121",-,$-,"3,675","4,468",-,Fincar,"4,954","8,747","3,793.00","13,121",-,$-,"4,374",793,"3,581",Fincar,"8,747","8,747",-,"13,121",-,$-,"4,374",-,"4,374",Fincar,"8,747","8,747",-,"13,121",-,$-,"4,374",-,"4,374",Fincar,"8,747","8,747",-,"13,121",-,CORRUGADO,ACTIVO
CRRSUAVOT5,CRRSUAVOT5,CORR SUAV OTOÑAL BC 5L 4PZ,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$13.07,-,"3,658",-,-,-,-,Ok,-,"1,500","3,658.00","2,250",-,$-,750,"3,658",-,Ok,-,"1,500","2,908.00","2,250",-,$-,"1,500","2,908",-,Fincar,92,"1,500","1,408.00","2,250",-,$-,750,"1,408",-,Fincar,842,"1,500",658,"2,250",-,$-,750,658,92,Fincar,"1,500","1,500",-,"2,250",-,$-,750,-,750,Fincar,"1,500","1,500",-,"2,250",-,CORRUGADO,ACTIVO
CRRMZCBC5L,CRRMZCBC5L,CORR MULT MANZANA CANELA BC 5L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$13.07,998,"4,029",-,-,,-,Ok,-,"2,701","3,031.00","4,052",-,$-,"1,497","3,031",-,Fincar,"1,167","2,701","1,534.00","4,052",-,$-,"1,996","1,534",462,Fincar,"2,701","2,701",-,"4,052",-,$-,"1,351",-,"1,351",Fincar,"2,701","2,701",-,"4,052",-,$-,"1,351",-,"1,351",Fincar,"2,701","2,701",-,"4,052",-,$-,"1,351",-,"1,351",Fincar,"2,701","2,701",-,"4,052",-,CORRUGADO,ACTIVO
CRRMFRBC5L,CRRMFRBC5L,CORR MULT MAR FRESCO BC 5L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$13.07,499,"4,152",-,-,,-,Ok,-,"2,501","3,653.00","3,752",-,$-,"3,002","3,653",-,Fincar,"1,850","2,501",651.5,"3,752",-,$-,499,651,-,Fincar,"2,349","2,501",152.5,"3,752",-,$-,"1,251",152,"1,098",Fincar,"2,501","2,501",-,"3,752",-,$-,"1,251",-,"1,251",Fincar,"2,501","2,501",-,"3,752",-,$-,"1,251",-,"1,251",Fincar,"2,501","2,501",-,"3,752",-,CORRUGADO,ACTIVO
CORRGELCLL,CORRGELCLL,CORR GEL CABALLERO BC 24PZA,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$5.34,"1,000.00","2,489",-,-,-,-,Fincar,11,"1,500","1,489.00","2,250",-,$-,500,"1,489",-,Fincar,511,"1,500",989,"2,250",-,$-,500,989,-,Fincar,"1,011","1,500",489,"2,250",-,$-,750,489,261,Fincar,"1,500","1,500",-,"2,250",-,$-,750,-,750,Fincar,"1,500","1,500",-,"2,250",-,$-,750,-,750,Fincar,"1,500","1,500",-,"2,250",-,CORRUGADO,ACTIVO
CJBL1LWRAP,CJBL1LWRAP,CAJA BLANQUEADOR 1L WRAP AROUND,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$6.93,-,588,-,-,-,-,Ok,-,-,588,-,-,$-,-,588,-,Ok,-,-,588,-,-,$-,-,588,-,Ok,-,-,588,-,-,$-,-,588,-,Ok,-,-,588,-,-,$-,-,588,-,Ok,-,-,588,-,-,$-,-,588,-,Ok,-,-,588,-,-,CORRUGADO,ACTIVO
